participant_id,team_id,amount
david-c,canada,2
david-c,morocco,5
david-c,germany,7
david-c,netherlands,5
david-c,japan,4
david-c,uruguay,5
david-c,senegal,3
david-c,austria,2
david-c,portugal,8
david-c,colombia,5
david-c,croatia,4
zach-f,brazil,18
zach-f,ecuador,5
zach-f,uruguay,2
zach-f,argentina,18
zach-f,colombia,5
zach-f,croatia,2
jason-k,mexico,2
jason-k,switzerland,1
jason-k,usa,4
jason-k,germany,5
jason-k,japan,2
jason-k,spain,10
jason-k,saudi-arabia,1
jason-k,france,12
jason-k,portugal,5
jason-k,england,7
jason-k,panama,1
spencer-u,germany,10
spencer-u,netherlands,10
spencer-u,spain,5
spencer-u,france,5
spencer-u,argentina,5
spencer-u,portugal,15
diego-p,brazil,10
diego-p,morocco,2
diego-p,germany,2
diego-p,netherlands,2
diego-p,belgium,2
diego-p,uruguay,2
diego-p,france,8
diego-p,argentina,7
diego-p,portugal,7
diego-p,england,8
jesse-e,spain,14
jesse-e,france,16
jesse-e,portugal,10
jesse-e,england,10
chris-b,switzerland,2
chris-b,brazil,8
chris-b,morocco,3
chris-b,germany,5
chris-b,japan,4
chris-b,spain,10
chris-b,france,10
chris-b,portugal,6
chris-b,croatia,2
erik-o,usa,25
erik-o,japan,12
erik-o,norway,13
travis-h,turkiye,1
travis-h,germany,10
travis-h,ivory-coast,1
travis-h,ecuador,1
travis-h,netherlands,10
travis-h,japan,1
travis-h,spain,10
travis-h,norway,1
travis-h,portugal,10
travis-h,colombia,5
justin-s,germany,5
justin-s,spain,10
justin-s,france,15
justin-s,portugal,10
justin-s,england,10
brian-h,brazil,6
brian-h,germany,4
brian-h,spain,10
brian-h,france,10
brian-h,argentina,6
brian-h,portugal,6
brian-h,england,8
buck-w,brazil,5
buck-w,usa,5
buck-w,germany,10
buck-w,spain,5
buck-w,france,5
buck-w,argentina,10
buck-w,england,10
mikey-w,canada,1
mikey-w,brazil,3
mikey-w,morocco,1
mikey-w,usa,3
mikey-w,turkiye,1
mikey-w,ecuador,2
mikey-w,japan,2
mikey-w,egypt,1
mikey-w,spain,10
mikey-w,france,6
mikey-w,norway,2
mikey-w,argentina,2
mikey-w,portugal,10
mikey-w,uzbekistan,1
mikey-w,colombia,5
kory-k,scotland,5
kory-k,france,10
kory-k,portugal,25
kory-k,england,5
kory-k,croatia,5
brian-g,usa,10
brian-g,germany,16
brian-g,japan,6
brian-g,norway,5
brian-g,colombia,13
brandon-b,south-korea,1
brandon-b,brazil,1
brandon-b,morocco,1
brandon-b,usa,5
brandon-b,germany,5
brandon-b,ecuador,2
brandon-b,japan,3
brandon-b,belgium,4
brandon-b,spain,5
brandon-b,france,5
brandon-b,argentina,2
brandon-b,portugal,7
brandon-b,colombia,4
brandon-b,england,5
bryan-c,mexico,5
bryan-c,brazil,5
bryan-c,usa,5
bryan-c,ivory-coast,4
bryan-c,egypt,3
bryan-c,spain,10
bryan-c,uruguay,4
bryan-c,france,7
bryan-c,senegal,2
bryan-c,colombia,5
kenny-h,spain,50
cayce-h,argentina,50
jason-c,brazil,10
jason-c,morocco,5
jason-c,japan,5
jason-c,spain,15
jason-c,france,10
jason-c,portugal,5
