team_id,name,group
mexico,Mexico,A
south-africa,South Africa,A
south-korea,South Korea,A
czechia,Czechia,A
canada,Canada,B
bosnia-herz,Bosnia & Herz.,B
qatar,Qatar,B
switzerland,Switzerland,B
brazil,Brazil,C
morocco,Morocco,C
haiti,Haiti,C
scotland,Scotland,C
usa,USA,D
paraguay,Paraguay,D
australia,Australia,D
turkiye,Turkiye,D
germany,Germany,E
curacao,Curacao,E
ivory-coast,Ivory Coast,E
ecuador,Ecuador,E
netherlands,Netherlands,F
japan,Japan,F
sweden,Sweden,F
tunisia,Tunisia,F
belgium,Belgium,G
egypt,Egypt,G
ir-iran,IR Iran,G
new-zealand,New Zealand,G
spain,Spain,H
cape-verde,Cape Verde,H
saudi-arabia,Saudi Arabia,H
uruguay,Uruguay,H
france,France,I
senegal,Senegal,I
iraq,Iraq,I
norway,Norway,I
argentina,Argentina,J
algeria,Algeria,J
austria,Austria,J
jordan,Jordan,J
portugal,Portugal,K
congo-dr,Congo DR,K
uzbekistan,Uzbekistan,K
colombia,Colombia,K
england,England,L
croatia,Croatia,L
ghana,Ghana,L
panama,Panama,L
